,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,FHD,FHD,FHD,SHO_R,SHO_R,SHO_R,KNE_L,KNE_L,KNE_L,CHE,CHE,CHE,TOE_R,TOE_R,TOE_R,ANK_R,ANK_R,ANK_R,JAW,JAW,JAW,KNE_R,KNE_R,KNE_R,TOE_L,TOE_L,TOE_L,SHO_L,SHO_L,SHO_L,ANK_L,ANK_L,ANK_L,ASI_R,ASI_R,ASI_R,WRI_L,WRI_L,WRI_L,ELB_L,ELB_L,ELB_L,ASI_L,ASI_L,ASI_L,WRI_R,WRI_R,WRI_R,ELB_R,ELB_R,ELB_R
,ID,おでこ,おでこ,おでこ,右肩,右肩,右肩,左膝,左膝,左膝,胸骨,胸骨,胸骨,右爪先,右爪先,右爪先,右足首,右足首,右足首,あご,あご,あご,右膝,右膝,右膝,左爪先,左爪先,左爪先,左肩,左肩,左肩,左足首,左足首,左足首,右骨盤,右骨盤,右骨盤,左手首,左手首,左手首,左肘,左肘,左肘,左骨盤,左骨盤,左骨盤,右手首,右手首,右手首,右肘,右肘,右肘
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
984,8.200000,-0.399961,1.381045,0.280694,-0.165604,1.201055,0.496187,0.063900,0.463447,0.192663,-0.095981,0.985520,0.291803,0.063816,0.028594,0.454477,0.216743,0.069984,0.508418,-0.349271,1.204452,0.277117,0.037117,0.471324,0.414356,0.075861,0.029776,0.123174,-0.144624,1.189869,0.032031,0.229474,0.061292,0.087833,0.165590,0.891338,0.436913,0.087846,0.731510,-0.092763,0.020128,0.981552,-0.050789,0.172414,0.896282,0.150300,0.073730,0.708591,0.653241,0.015465,0.948953,0.616451
985,8.208333,-0.397343,1.385287,0.280645,-0.162720,1.204141,0.496356,0.061947,0.463346,0.192716,-0.097158,0.988075,0.291767,0.063343,0.028720,0.454388,0.216423,0.070446,0.508414,-0.348755,1.208529,0.276899,0.035614,0.471102,0.414329,0.076275,0.029586,0.123217,-0.143957,1.192857,0.031930,0.228923,0.061870,0.087968,0.164581,0.891449,0.437003,0.085579,0.732379,-0.092924,0.018796,0.983154,-0.050836,0.170571,0.896484,0.150381,0.070282,0.709491,0.652687,0.012733,0.950473,0.615951
986,8.216667,-0.395345,1.389626,0.280530,-0.163815,1.207424,0.496038,0.060100,0.463251,0.192721,-0.097170,0.990555,0.291683,0.063248,0.028732,0.454340,0.216942,0.070655,0.508459,-0.347478,1.212724,0.276681,0.032980,0.471167,0.414196,0.075600,0.029760,0.123215,-0.141895,1.195854,0.031868,0.228952,0.062275,0.088060,0.163651,0.891665,0.437103,0.081560,0.733616,-0.092976,0.017728,0.984755,-0.050921,0.169958,0.896618,0.150496,0.067123,0.710361,0.652161,0.011765,0.951913,0.615729
987,8.225000,-0.393833,1.394038,0.280369,-0.162868,1.210464,0.495996,0.058040,0.463285,0.192652,-0.098242,0.993257,0.291682,0.063404,0.028653,0.454353,0.216255,0.071286,0.508434,-0.345424,1.216940,0.276517,0.031130,0.471098,0.414178,0.075821,0.029662,0.123211,-0.141007,1.198835,0.031772,0.228810,0.062746,0.088141,0.162510,0.891946,0.437219,0.077851,0.734857,-0.093043,0.018151,0.986291,-0.051053,0.169082,0.896840,0.150569,0.063583,0.711453,0.651568,0.011925,0.953241,0.615696
988,8.233333,-0.392153,1.398438,0.280165,-0.160801,1.213749,0.495993,0.055559,0.463431,0.192581,-0.097981,0.995862,0.291611,0.063210,0.028675,0.454322,0.215981,0.071726,0.508443,-0.343104,1.221223,0.276362,0.028849,0.471219,0.414129,0.074913,0.029986,0.123229,-0.140851,1.202057,0.031739,0.228861,0.063181,0.088199,0.160925,0.892349,0.437228,0.073565,0.736224,-0.093143,0.017222,0.988043,-0.051125,0.167764,0.897152,0.150649,0.060265,0.712465,0.650980,0.010788,0.954804,0.615427
989,8.241667,-0.390388,1.402870,0.279994,-0.162029,1.216980,0.495695,0.053420,0.463593,0.192459,-0.098765,0.998644,0.291653,0.063610,0.028538,0.454374,0.216450,0.072026,0.508621,-0.340583,1.225499,0.276252,0.026026,0.471596,0.414004,0.075794,0.029650,0.123194,-0.138802,1.205126,0.031667,0.228676,0.063693,0.088172,0.160486,0.892716,0.437371,0.070930,0.737382,-0.093227,0.015665,0.989840,-0.051115,0.166181,0.897540,0.150732,0.057060,0.713520,0.650488,0.007874,0.956503,0.614959
990,8.250000,-0.387692,1.407281,0.279864,-0.160461,1.220119,0.495609,0.051958,0.463560,0.192319,-0.098770,1.001339,0.291565,0.062817,0.028804,0.454306,0.215183,0.072896,0.508574,-0.338687,1.229770,0.276109,0.024776,0.471620,0.414107,0.075778,0.029630,0.123215,-0.138349,1.208280,0.031607,0.228199,0.064321,0.088073,0.158817,0.893266,0.437356,0.067317,0.738628,-0.093284,0.015600,0.991526,-0.051227,0.165425,0.897872,0.150826,0.053391,0.714691,0.649847,0.006676,0.958094,0.614711
991,8.258333,-0.385784,1.411592,0.279682,-0.160389,1.223552,0.495387,0.050154,0.463699,0.192168,-0.099915,1.004168,0.291558,0.063473,0.028524,0.454411,0.214981,0.073394,0.508692,-0.336859,1.233962,0.275914,0.023319,0.471763,0.414201,0.074473,0.030138,0.123184,-0.136829,1.211415,0.031543,0.228992,0.064434,0.087983,0.157841,0.893788,0.437444,0.064167,0.739810,-0.093298,0.014128,0.993347,-0.051271,0.165038,0.898193,0.150909,0.048981,0.715979,0.649119,0.007172,0.959517,0.614739
992,8.266667,-0.382225,1.415919,0.279581,-0.159752,1.226594,0.495290,0.047729,0.463966,0.191967,-0.099767,1.006894,0.291469,0.062965,0.028726,0.454361,0.215588,0.073553,0.508968,-0.334950,1.237987,0.275749,0.022850,0.471658,0.414437,0.075297,0.029803,0.123154,-0.135647,1.214445,0.031463,0.228701,0.064954,0.087856,0.157465,0.894269,0.437561,0.060725,0.741069,-0.093319,0.013005,0.995047,-0.051272,0.163111,0.898713,0.150985,0.045570,0.717171,0.648603,0.004807,0.961282,0.614318
993,8.275000,-0.381067,1.419988,0.279363,-0.159603,1.229815,0.495058,0.046143,0.463995,0.191798,-0.100532,1.009669,0.291494,0.062870,0.028796,0.454384,0.215237,0.074059,0.509068,-0.333266,1.241954,0.275540,0.021608,0.471744,0.414605,0.075208,0.029843,0.123135,-0.135948,1.217613,0.031421,0.227813,0.065611,0.087722,0.156155,0.894845,0.437614,0.057016,0.742472,-0.093334,0.012470,0.996809,-0.051348,0.162662,0.899028,0.151107,0.042015,0.718400,0.648059,0.003036,0.962982,0.614072
